age_range,industry,job_title,annual_salary,currency,country,current_years_experience,education,gender
25-34,Information Technology,Manager (General),177000,USD,United States,8 - 10 years,College degree,Woman
25-34,Nonprofit,Coordinator,65000,USD,United States,5-7 years,College degree,Woman
35-44,Health,Other,80000,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Legal,Paralegal,60000,USD,United States,5-7 years,Master's degree,Woman
25-34,Marketing,Other,62000,USD,United States,2 - 4 years,College degree,Woman
25-34,Information Technology,Data Scientist/Analyst,150000,USD,United States,5-7 years,Master's degree,Woman
25-34,Nonprofit,Director,51000,USD,United States,5-7 years,Master's degree,Woman
35-44,Other,Manager (General),135000,USD,United States,11 - 20 years,Master's degree,Woman
35-44,Information Technology,Other,82000,USD,United States,8 - 10 years,College degree,Woman
25-34,Engineering/Manufacturing,Other,48000,USD,United States,2 - 4 years,Some college,Woman
35-44,Finance,Auditor,70000,USD,United States,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Engineering/Manufacturing,Sales Representative,84000,USD,United States,5-7 years,College degree,Woman
35-44,Transportation,Other,75000,USD,United States,2 - 4 years,College degree,Man
45-54,Media/Entertainment,Software Engineer,165000,USD,United States,21 - 30 years,College degree,Man
25-34,Education,Other,45000,USD,United States,8 - 10 years,Master's degree,Woman
35-44,Information Technology,Project Manager,70500,USD,United States,11 - 20 years,College degree,Woman
35-44,Legal,Other,85000,USD,United States,11 - 20 years,College degree,Woman
25-34,Legal,Other,230000,USD,United States,5-7 years,"Professional degree (MD, JD, etc.)",Man
45-54,Government,Other,108000,USD,United States,11 - 20 years,College degree,Woman
35-44,Other,Manager (General),36000,USD,United States,11 - 20 years,College degree,Woman
45-54,Marketing,Writer/Editor,100000,USD,United States,11 - 20 years,College degree,Woman
25-34,Health,Coordinator,52000,USD,United States,5-7 years,College degree,Woman
35-44,Nonprofit,Other,41000,USD,United States,5-7 years,Master's degree,Woman
35-44,Finance,Manager (General),89000,USD,United States,11 - 20 years,College degree,Man
35-44,Education,Teacher (K-12),65000,USD,United States,11 - 20 years,Master's degree,Woman
55-64,Engineering/Manufacturing,Other,50000,USD,United States,31 - 40 years,Some college,Man
45-54,Government,Supervisor,69828,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Nonprofit,Manager (General),107000,USD,United States,11 - 20 years,College degree,Woman
35-44,Health,Team Lead,107000,GBP,United Kingdom,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman
18-24,Other,Other,32500,USD,United States,1 year or less,College degree,Woman
25-34,Health,Other,72800,USD,United States,5-7 years,College degree,Woman
25-34,Education,Director,62500,USD,United States,8 - 10 years,College degree,Woman
25-34,Government,Analyst (General),60000,USD,United States,5-7 years,Master's degree,Woman
25-34,Information Technology,Coordinator,62000,USD,United States,2 - 4 years,College degree,Woman
35-44,Other,Other,75000,USD,United States,11 - 20 years,Master's degree,Woman
35-44,Government,Director,120000,USD,United States,11 - 20 years,Master's degree,Woman
35-44,Information Technology,Project Manager,95000,USD,United States,5-7 years,Master's degree,Woman
25-34,Education,Teacher (K-12),55000,USD,United States,5-7 years,Master's degree,Prefer not to answer
25-34,Engineering/Manufacturing,Analyst (General),69000,USD,United States,5-7 years,Master's degree,Woman
45-54,Information Technology,Analyst (General),68000,USD,United States,5-7 years,Some college,Woman
25-34,Media/Entertainment,Other,37440,USD,United States,2 - 4 years,College degree,Woman
55-64,Nonprofit,Other,57117,USD,United States,11 - 20 years,Some college,Woman
35-44,Nonprofit,Director,60000,CAD,Canada,8 - 10 years,Master's degree,Woman
35-44,Information Technology,Manager (General),130000,USD,United States,8 - 10 years,College degree,Woman
25-34,Information Technology,Product Manager,173000,USD,United States,5-7 years,College degree,Man
25-34,Education,Teacher (K-12),48000,USD,United States,8 - 10 years,College degree,Woman
25-34,Legal,Paralegal,35000,USD,United States,2 - 4 years,College degree,Woman
25-34,Education,Physician,62000,USD,United States,1 year or less,PhD,Woman
25-34,Information Technology,Product Manager,138000,USD,United States,5-7 years,College degree,Woman
35-44,Nonprofit,Director,108160,USD,United States,8 - 10 years,Master's degree,Woman
55-64,Finance,UX/UI Designer,120000,USD,United States,21 - 30 years,Some college,Woman
25-34,Finance,Other,53000,USD,United States,5-7 years,College degree,Man
25-34,Legal,Other,79000,USD,United States,1 year or less,"Professional degree (MD, JD, etc.)",Woman
25-34,Health,Director,158000,USD,United States,8 - 10 years,,Woman
35-44,Hospitality,QA/Test Engineer,80000,CAD,Canada,8 - 10 years,Some college,Woman
45-54,Transportation,Manager (General),95000,USD,United States,8 - 10 years,Master's degree,Woman
35-44,Finance,Manager (General),100000,USD,United States,11 - 20 years,Master's degree,Man
25-34,Information Technology,Manager (General),110000,USD,United States,5-7 years,College degree,Woman
35-44,Government,Coordinator,61000,USD,United States,5-7 years,College degree,Man
35-44,Other,HR Generalist/Manager,101000,USD,United States,11 - 20 years,Master's degree,Man
25-34,Engineering/Manufacturing,Team Lead,208000,AUD/NZD,Australia,8 - 10 years,College degree,Woman
25-34,Business/Consulting,Coordinator,70000,USD,United States,11 - 20 years,College degree,Woman
45-54,Education,Director,106000,USD,United States,21 - 30 years,Master's degree,Woman
35-44,Information Technology,Project Manager,139000,USD,United States,21 - 30 years,College degree,Woman
25-34,Government,Other,94000,USD,United States,5-7 years,Master's degree,Woman
55-64,Legal,Other,225000,USD,United States,11 - 20 years,"Professional degree (MD, JD, etc.)",Man
25-34,Information Technology,Project Manager,63000,USD,United States,2 - 4 years,College degree,Woman
35-44,Other,Consultant,109000,USD,United States,5-7 years,College degree,Woman
35-44,Information Technology,Software Engineer,185000,USD,United States,11 - 20 years,College degree,Woman
35-44,Education,Project Manager,87000,USD,United States,5-7 years,PhD,Woman
25-34,Information Technology,Other,100000,USD,United States,8 - 10 years,College degree,Man
35-44,Engineering/Manufacturing,Director,211000,USD,Other,11 - 20 years,College degree,Woman
35-44,Education,Other,68000,USD,United States,8 - 10 years,Master's degree,Woman
35-44,Nonprofit,Analyst (General),50000,USD,United States,2 - 4 years,Master's degree,Woman
18-24,Media/Entertainment,Other,48000,USD,United States,2 - 4 years,College degree,Woman
25-34,Education,Other,68000,USD,United States,8 - 10 years,Master's degree,Woman
55-64,Media/Entertainment,Other,200000,CAD,United States,31 - 40 years,College degree,Woman
45-54,Education,Teacher (K-12),58000,USD,United States,21 - 30 years,Master's degree,Woman
35-44,Government,Director,72000,USD,United States,5-7 years,Master's degree,Woman
25-34,Education,Project Manager,114000,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Information Technology,Manager (General),223000,USD,United States,5-7 years,Master's degree,Man
35-44,Government,Analyst (General),63000,USD,United States,5-7 years,Master's degree,Man
35-44,Engineering/Manufacturing,Engineer (Non-software),103000,USD,United States,8 - 10 years,College degree,Woman
35-44,Engineering/Manufacturing,Project Manager,175000,USD,United States,11 - 20 years,Master's degree,Woman
35-44,Other,Other,62000,USD,United States,11 - 20 years,College degree,Woman
55-64,Nonprofit,Manager (General),112800,USD,United States,11 - 20 years,Master's degree,Woman
35-44,Other,Director,75000,USD,United States,8 - 10 years,PhD,Woman
35-44,Health,Other,70000,CAD,Canada,2 - 4 years,College degree,Prefer not to answer
25-34,Government,Other,76000,USD,United States,5-7 years,PhD,Woman
55-64,Energy,Supervisor,90000,USD,United States,21 - 30 years,College degree,Woman
25-34,Information Technology,Manager (General),135000,USD,United States,8 - 10 years,College degree,Woman
25-34,Nonprofit,Manager (General),50920,USD,United States,1 year or less,Some college,Prefer not to answer
65 or over,Education,Professor/Faculty,108000,USD,United States,41 years or more,PhD,Woman
25-34,Education,Teacher (K-12),30000,USD,United States,8 - 10 years,College degree,Woman
25-34,Health,Other,112000,USD,United States,11 - 20 years,College degree,Woman
25-34,Information Technology,Engineer (Non-software),72800,USD,United States,8 - 10 years,Some college,Man
25-34,Nonprofit,Director,51000,USD,United States,5-7 years,Master's degree,Woman
25-34,Education,Librarian,54000,USD,United States,2 - 4 years,Master's degree,Woman
45-54,Education,Director,114000,USD,United States,11 - 20 years,College degree,Woman
35-44,Information Technology,QA/Test Engineer,100000,USD,United States,8 - 10 years,College degree,Woman
25-34,Nonprofit,HR Generalist/Manager,76000,USD,Other,2 - 4 years,College degree,Woman
45-54,Marketing,Director,198000,USD,United States,21 - 30 years,Master's degree,Woman
45-54,Health,Manager (General),81000,USD,United States,5-7 years,Master's degree,Man
35-44,Finance,Other,200000,USD,United States,5-7 years,Master's degree,Woman
35-44,Information Technology,Software Engineer,176000,USD,United States,11 - 20 years,Master's degree,Man
45-54,Other,Director,115000,USD,United States,11 - 20 years,Master's degree,Woman
35-44,Business/Consulting,Manager (General),104164,USD,United States,11 - 20 years,College degree,Woman
35-44,Information Technology,Manager (General),100000,CAD,Canada,11 - 20 years,College degree,Woman
25-34,Information Technology,Engineer (Non-software),97000,USD,United States,8 - 10 years,Master's degree,Woman
25-34,Education,Manager (General),81000,USD,United States,5-7 years,Master's degree,Woman
45-54,Engineering/Manufacturing,Controller,95000,USD,United States,21 - 30 years,College degree,Woman
25-34,Nonprofit,Other,58500,AUD/NZD,New Zealand,5-7 years,College degree,Woman
25-34,Information Technology,QA/Test Engineer,48700,USD,United States,2 - 4 years,College degree,Woman
45-54,Health,Manager (General),96000,USD,United States,21 - 30 years,Master's degree,Man
25-34,Health,Analyst (General),87000,USD,United States,5-7 years,College degree,Woman
25-34,Retail/Sales,Manager (General),70000,USD,United States,8 - 10 years,College degree,Woman
25-34,Legal,Lawyer/Attorney,75000,USD,United States,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Nonprofit,Director,100000,USD,United States,11 - 20 years,Master's degree,Woman
35-44,Nonprofit,Analyst (General),110000,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Nonprofit,Project Manager,66560,USD,United States,8 - 10 years,College degree,Man
35-44,Health,Other,45000,USD,United States,41 years or more,Some college,Woman
25-34,Education,Director,91000,USD,United States,5-7 years,Master's degree,Woman
35-44,Information Technology,Director,136000,USD,United States,11 - 20 years,Some college,Prefer not to answer
25-34,Nonprofit,Manager (General),93000,USD,United States,2 - 4 years,Master's degree,Woman
35-44,Other,Sales Representative,50000,USD,United States,21 - 30 years,Some college,Woman
35-44,Education,Director,72000,USD,United States,8 - 10 years,Master's degree,Woman
25-34,Health,Manager (General),122000,USD,United States,2 - 4 years,"Professional degree (MD, JD, etc.)",Man
35-44,Education,Professor/Faculty,118000,USD,United States,5-7 years,PhD,Woman
25-34,Education,Teacher (K-12),74717,AUD/NZD,Australia,2 - 4 years,Master's degree,Woman
25-34,Nonprofit,Project Manager,50000,USD,United States,8 - 10 years,College degree,Woman
25-34,Information Technology,Consultant,105000,CAD,Canada,5-7 years,,Prefer not to answer
35-44,Education,Other,74500,USD,United States,8 - 10 years,Master's degree,Woman
35-44,Engineering/Manufacturing,Other,44930,USD,United States,5-7 years,Some college,Man
45-54,Other,Other,100000,USD,United States,11 - 20 years,Some college,Woman
45-54,Information Technology,Software Engineer,130000,USD,United States,21 - 30 years,College degree,Woman
25-34,Government,Supervisor,125000,USD,United States,5-7 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Information Technology,Software Engineer,151000,USD,United States,11 - 20 years,College degree,Woman
45-54,Nonprofit,Director,167600,USD,United States,21 - 30 years,College degree,Woman
45-54,Retail/Sales,Other,27000,USD,United States,11 - 20 years,High School,Man
18-24,Marketing,Other,45000,AUD/NZD,Australia,1 year or less,College degree,Woman
45-54,Health,Other,41600,USD,Other,8 - 10 years,Some college,Woman
35-44,Nonprofit,Director,70000,USD,United States,8 - 10 years,College degree,Woman
35-44,Engineering/Manufacturing,Principal/Administrator (Edu),160000,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Media/Entertainment,Engineer (Non-software),110000,USD,United States,2 - 4 years,College degree,Woman
25-34,Health,Other,90000,USD,United States,11 - 20 years,PhD,Woman
25-34,Engineering/Manufacturing,UX/UI Designer,90000,USD,United States,2 - 4 years,Master's degree,Woman
35-44,Health,Other,32000,USD,United States,11 - 20 years,College degree,Woman
25-34,Nonprofit,Manager (General),90000,USD,United States,8 - 10 years,Master's degree,Woman
35-44,Education,Teacher (K-12),4000000,JPY,Other,8 - 10 years,Master's degree,Woman
45-54,Retail/Sales,Manager (General),88000,USD,United States,11 - 20 years,College degree,Woman
25-34,Health,Data Scientist/Analyst,75000,CAD,Canada,1 year or less,Master's degree,Woman
35-44,Government,Other,140000,USD,United States,8 - 10 years,Master's degree,Woman
45-54,Education,Manager (General),178000,AUD/NZD,Australia,21 - 30 years,Master's degree,Woman
25-34,Retail/Sales,Other,48000,USD,United States,2 - 4 years,College degree,Prefer not to answer
35-44,Education,Teacher (K-12),68000,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Information Technology,QA/Test Engineer,100000,USD,United States,8 - 10 years,College degree,Woman
25-34,Finance,Other,70000,USD,United States,5-7 years,College degree,Woman
35-44,Nonprofit,Director,120000,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Business/Consulting,Consultant,150000,USD,United States,8 - 10 years,Master's degree,Man
25-34,Other,Engineer (Non-software),200000,AUD/NZD,Australia,8 - 10 years,Master's degree,Man
45-54,Engineering/Manufacturing,Executive Assistant,43680,USD,United States,2 - 4 years,College degree,Woman
45-54,Finance,Writer/Editor,68598,USD,United States,11 - 20 years,College degree,Woman
25-34,Health,Manager (General),1250000,USD,United States,8 - 10 years,Master's degree,Woman
